"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
7204,"Males",2009,0,"Lambs",2009,0.30457,43,2.09065189995872,1,"B",0,100
5111,"Females",2002,7,"Adults",2009,0.44224,48,1.20949954517879,1,"C",1,400
5326,"Females",2001,6,"Adults",2007,0.90364,43,1.99910866989672,1,"E",1,0
7233,"Males",2009,0,"Lambs",2009,0.10975,43,1.9737662357832,1,"F",1,1400
4355,"Males",2000,1,"Adults",2001,0.69286,25,1.7385653068767,1,"G",0,0
5531,"Females",2003,6,"Adults",2009,0.33328,47,1.85032082151184,1,"H",1,0
6633,"Males",2007,0,"Lambs",2007,0.02249,48,1.61104184121857,1,"A",1,300
5662,"Females",2003,9,"Adults",2012,0.70958,19,1.81002358785907,1,"B",0,100
4636,"Females",2001,11,"Adults",2012,0.64013,19,1.81045815706246,1,"C",1,0
3968,"Females",1998,3,"Adults",2001,0.40641,27,1.34828498161891,1,"D",0,400
8756,"Females",2012,0,"Lambs",2012,0.33476,22,2.15165867498731,1,"E",1,200
4668,"Males",2001,0,"Lambs",2001,0.10148,24,1.8824347053486,1,"G",0,300
4241,"Females",1999,8,"Adults",2007,0.36429,43,1.58296508746604,1,"H",1,0
4465,"Females",2000,12,"Adults",2012,0.62312,19,1.69843217920706,1,"A",1,200
6345,"Males",2006,3,"Adults",2009,0.94222,46,1.33665135368318,1,"C",0,100
6616,"Males",2007,5,"Adults",2012,0.65628,19,1.61947692820778,1,"F",1,300
5490,"Females",2003,6,"Adults",2009,0.81371,47,1.64242953143736,1,"H",1,0
6338,"Females",2006,3,"Adults",2009,0.40344,46,2.02359449214745,1,"A",1,100
5089,"Females",2002,5,"Adults",2007,0.61827,44,1.50694922996498,1,"B",1,0
6333,"Males",2006,1,"Adults",2007,0.65155,46,1.66698445568365,1,"C",1,600
5626,"Females",2003,4,"Adults",2007,0.41751,45,1.95423666580021,1,"E",1,100
6726,"Females",2007,2,"Adults",2009,0.54399,46,1.68342731664227,1,"F",1,400
5484,"Males",2003,6,"Adults",2009,0.36169,47,1.64292246592512,1,"G",0,0
7220,"Females",2009,0,"Lambs",2009,0.36218,43,2.11209397304893,1,"H",0,100
7165,"Males",2009,0,"Lambs",2009,0.07576,49,1.84739647410587,1,"A",0,400
7242,"Males",2009,0,"Lambs",2009,0.4365,43,1.41366510100758,1,"B",0,0
