"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","Strongyles","RTL","qPCRPlate","qPCRRow","Survival"
7204,"Males",2009,0,"Lambs",2009,100,2.09065189995872,1,"B",0
7233,"Males",2009,0,"Lambs",2009,1400,1.9737662357832,1,"F",1
6633,"Males",2007,0,"Lambs",2007,300,1.61104184121857,1,"A",1
8756,"Females",2012,0,"Lambs",2012,200,2.15165867498731,1,"E",1
4668,"Males",2001,0,"Lambs",2001,300,1.8824347053486,1,"G",0
7220,"Females",2009,0,"Lambs",2009,100,2.11209397304893,1,"H",0
7165,"Males",2009,0,"Lambs",2009,400,1.84739647410587,1,"A",0
7242,"Males",2009,0,"Lambs",2009,0,1.41366510100758,1,"B",0
6732,"Females",2007,0,"Lambs",2007,400,1.45058006285055,1,"C",0
4622,"Males",2001,0,"Lambs",2001,400,1.42467865380065,1,"G",0
7327,"Males",2009,0,"Lambs",2009,800,2.09733482061286,1,"B",0
4609,"Males",2001,0,"Lambs",2001,1300,1.58526283671774,1,"G",0
7206,"Females",2009,0,"Lambs",2009,600,1.59085771785796,1,"H",1
6613,"Males",2007,0,"Lambs",2007,200,1.79505358637036,2,"E",0
6722,"Males",2007,0,"Lambs",2007,200,1.93269209773224,2,"B",1
7307,"Males",2009,0,"Lambs",2009,1600,1.91125080289709,2,"C",0
8722,"Males",2012,0,"Lambs",2012,0,1.8614366313017,93,"E",0
6651,"Females",2007,0,"Lambs",2007,100,1.74013309451742,2,"C",0
4645,"Males",2001,0,"Lambs",2001,900,1.76287265815869,2,"H",0
6689,"Males",2007,0,"Lambs",2007,0,2.02877054094079,2,"B",1
6587,"Females",2007,0,"Lambs",2007,100,1.7229118922699,93,"H",0
6615,"Females",2007,0,"Lambs",2007,100,2.21767540012869,3,"G",1
7236,"Males",2009,0,"Lambs",2009,900,2.2043642919021,3,"H",0
7256,"Males",2009,0,"Lambs",2009,200,1.83790167107694,3,"F",1
7121,"Females",2009,0,"Lambs",2009,300,1.93116025627507,3,"H",0
7332,"Males",2009,0,"Lambs",2009,1200,1.58012723662612,3,"E",0
6703,"Males",2007,0,"Lambs",2007,1000,1.67423052188309,3,"G",0
4626,"Males",2001,0,"Lambs",2001,1000,1.73222731025646,3,"C",0
6586,"Males",2007,0,"Lambs",2007,1200,1.47331817505307,3,"G",0
7260,"Males",2009,0,"Lambs",2009,1000,1.50358381341843,3,"F",1
7254,"Males",2009,0,"Lambs",2009,1000,1.84177993966636,3,"G",0
4682,"Males",2001,0,"Lambs",2001,1700,1.96959160146213,4,"C",0
7194,"Females",2009,0,"Lambs",2009,200,1.75640104496029,4,"E",1
6678,"Females",2007,0,"Lambs",2007,200,1.58493559950853,93,"H",1
8733,"Males",2012,0,"Lambs",2012,200,1.58222443301603,4,"C",1
