"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
6774,"Males",2007,0,"Lambs",2007,0.16036,47,2.07620309385809,1,"A",0
7204,"Males",2009,0,"Lambs",2009,0.30457,43,2.09065189995872,1,"B",0
7233,"Males",2009,0,"Lambs",2009,0.10975,43,1.9737662357832,1,"F",1
6633,"Males",2007,0,"Lambs",2007,0.02249,48,1.61104184121857,1,"A",1
8756,"Females",2012,0,"Lambs",2012,0.33476,22,2.15165867498731,1,"E",1
4668,"Males",2001,0,"Lambs",2001,0.10148,24,1.8824347053486,1,"G",0
7220,"Females",2009,0,"Lambs",2009,0.36218,43,2.11209397304893,1,"H",0
7165,"Males",2009,0,"Lambs",2009,0.07576,49,1.84739647410587,1,"A",0
7242,"Males",2009,0,"Lambs",2009,0.4365,43,1.41366510100758,1,"B",0
6732,"Females",2007,0,"Lambs",2007,0.15479,49,1.45058006285055,1,"C",0
4622,"Males",2001,0,"Lambs",2001,0.22241,23,1.42467865380065,1,"G",0
7327,"Males",2009,0,"Lambs",2009,0.06785,44,2.09733482061286,1,"B",0
4609,"Males",2001,0,"Lambs",2001,0.04785,23,1.58526283671774,1,"G",0
7206,"Females",2009,0,"Lambs",2009,0.07137,43,1.59085771785796,1,"H",1
6613,"Males",2007,0,"Lambs",2007,0.18375,48,1.79505358637036,2,"E",0
4627,"Females",2001,0,"Lambs",2001,0.23408,23,1.90850806064234,2,"F",0
6722,"Males",2007,0,"Lambs",2007,0.14291,47,1.93269209773224,2,"B",1
7307,"Males",2009,0,"Lambs",2009,0.25371,43,1.91125080289709,2,"C",0
8722,"Males",2012,0,"Lambs",2012,0.48608,22,1.8614366313017,93,"E",0
4575,"Females",2001,0,"Lambs",2001,0.14693,22,1.46211543893384,2,"B",1
6651,"Females",2007,0,"Lambs",2007,0.28154,48,1.74013309451742,2,"C",0
4628,"Females",2001,0,"Lambs",2001,0.04047,23,1.4366965933715,2,"D",1
7210,"Females",2009,0,"Lambs",2009,0.4838,43,1.43716889203677,2,"H",0
4645,"Males",2001,0,"Lambs",2001,0.17339,24,1.76287265815869,2,"H",0
6689,"Males",2007,0,"Lambs",2007,0.61062,47,2.02877054094079,2,"B",1
4683,"Males",2001,0,"Lambs",2001,0.05497,24,1.93703948380476,2,"E",0
